issue_id,issue_title,issue_description,issue_status,corrective_action
VER-20870,Archive Repository experiencing network latency,Backup monitoring detected network latency affecting archive repository. Operations team engaged for diagnostics. Netbackup master server experiencing performance issues.  Team reviewing.,In Progress,Resolution: Optimize backup operations by using the default backup operation (i.
VER-21059,Deduplication Appliance reporting timestamp conflicts,Backup verification process identified inadequate data in deduplication appliance. Timestamp conflicts detected during routine integrity checks. The latest version of this driver is released with the following changes:1. 1. Impact assessment shows potential restore reliability concerns. Immediate investigation required to ensure data protection compliance.,In Progress,Resolution: Optimize backup operations by using local files rather than files in the database.
VER-21440,Tape Library System experiencing job timeout,"Backup monitoring detected job timeout affecting tape library system. Operations team engaged for diagnostics. Voting system: update to a new version of Windows 10 and upgrade to Windows 10. 

Power management system: update to a new version of Windows 10 and upgrade to Windows 10.",Pending Validation,"Resolution: Optimize backup operations by storing backups in an array, rather than using the full array."
VER-21636,Cloud Backup Gateway experiencing configuration drift,"Backup monitoring detected configuration drift affecting cloud backup gateway. Operations team engaged for diagnostics. ""

A number of companies and organizations have had this problem. 

""When you look at the data that the product is used for, they are not 100% accurate,"" said Dan Lopes, a partner at the New York law firm Hogan Lovells.",Under Investigation,Corrective action: Restore data integrity by removing the value that was created by this function from the list of data in the current context.
VER-20068,Backup Catalog Database experiencing configuration drift,Backup monitoring detected configuration drift affecting backup catalog database. Operations team engaged for diagnostics. Affected system: disk storage pool detected checksum mismatches.  Verification shows data integrity affecting restore operations.,Closed,"Resolution: Optimize backup operations by using the same data, with only one backup of the same kind, so that the backup operations can be performed from a separate system."
VER-21750,Media Server Cluster experiencing network latency,"Backup monitoring detected network latency affecting media server cluster. Operations team engaged for diagnostics. In the event that a team is unable to access their tapes, it may be necessary to send the tapes to a tape library.  Please contact the tape library service at 1-800-766-2900 or for technical assistance with your tape collection.",In Progress,"Resolution: Optimize backup operations by a factor of 10

Remarks

The following discussion is based on a paper I did on the subject of backups from Windows XP."
VER-21243,Archive Repository experiencing service restart,"Backup monitoring detected service restart affecting archive repository. Operations team engaged for diagnostics. This is the list of files that are affected. 

File name: oem.",In Progress,"Resolution: Optimize backup operations by using less memory, faster disk drives, and less storage space

Performance: Overclocked on both 64-bit and 32-bit systems

Graphics: Supports the NVIDIA GeForce GTX 680 and GeForce GTX 770 graphics cards

Sound: Supports the NVIDIA GTX 660 and GeForce GTX 670 graphics cards

Performance: Overclocked on both 64-bit and 32-bit systems

Graphics: Supports the NVIDIA GTX 680 and GeForce GTX 770 graphics cards."
VER-20688,Cloud Backup Gateway experiencing job timeout,"Backup monitoring detected job timeout affecting cloud backup gateway. Operations team engaged for diagnostics. Systems with shared system resources and virtual machines, including VMware ESXi host operating systems, are not affected. 

Systems with shared system resources and virtual machines, including VMware ESXi host operating systems, are not affected.",Resolved,"Resolution: Optimize backup operations by automatically removing the system partition

The system partition is a directory that contains all of the system data (including the system boot loader, applications, the system application and/or all system files)."
VER-20984,Disk Storage Pool experiencing resource exhaustion,Backup monitoring detected resource exhaustion affecting disk storage pool. Operations team engaged for diagnostics. The system will crash after a backup is done.  We recommend you to stop the backup and restore the data to the original location.,In Progress,Resolution: Optimize backup operations by using a dynamic backup.
VER-21436,Backup Policy Engine reporting duplicate image entries,Backup verification process identified reconciliation issues in backup policy engine. Duplicate image entries detected during routine integrity checks. Backup integrity verification in progress. Team analyzing root cause. Impact assessment shows potential restore reliability concerns. Immediate investigation required to ensure data protection compliance.,Resolved,Resolution: Optimize backup operations by reducing the size of the backup copy.
VER-21260,Archive Repository experiencing media unavailability,"Backup monitoring detected media unavailability affecting archive repository. Operations team engaged for diagnostics. ""

The backup policy engine is a feature found in Windows 7 Enterprise.  It is described as ""a backup policy engine that provides backup of system data to a backup policy database.",Under Investigation,Resolution: Optimize backup operations by using a full backup of the image.
VER-21533,Deduplication Appliance experiencing resource exhaustion,"Backup monitoring detected resource exhaustion affecting deduplication appliance. Operations team engaged for diagnostics. The first step is to remove the disk and move it to the storage pool. 

Figure 1.",Pending Validation,Corrective action: Restore data integrity by deleting files.
VER-20769,Backup Policy Engine experiencing configuration drift,"Backup monitoring detected configuration drift affecting backup policy engine. Operations team engaged for diagnostics. This app is currently in the maintenance phase and should be back up by the end of the year.  As soon as the app is back up, please report any issues.",In Progress,Corrective action: Restore data integrity by adding an HTTP Request header.
VER-20600,Deduplication Appliance reporting timestamp conflicts,Backup verification process identified validation deficiencies in deduplication appliance. Timestamp conflicts detected during routine integrity checks. Cloud backup gateway detected checksum mismatches.  Verification shows control weaknesses affecting restore operations. Impact assessment shows potential restore reliability concerns. Immediate investigation required to ensure data protection compliance.,Resolved,Resolution: Optimize backup operations by using custom options.
VER-21297,Media Server Cluster experiencing service restart,"Backup monitoring detected service restart affecting media server cluster. Operations team engaged for diagnostics. - Updated for new functionality in Windows 10 Anniversary Update. 

- Added a user interface that allows users to choose to install the Windows 10 10 Professional 64-bit Desktop.",Open,Resolution: Optimize backup operations by changing the size of the volume.
VER-21151,Restore Service experiencing media unavailability,Backup monitoring detected media unavailability affecting restore service. Operations team engaged for diagnostics. Backup integrity verification in progress. Team analyzing root cause.,Open,Resolution: Optimize backup operations by ensuring that the system is running in a reasonable time.
VER-20384,Media Server Cluster experiencing network latency,"Backup monitoring detected network latency affecting media server cluster. Operations team engaged for diagnostics. The default value of this option is the default.  If it is, the server is offline, so it cannot be restored.",In Progress,"Resolution: Optimize backup operations by replacing the original, not overwritten, directory with a new one."
VER-20119,Netbackup Master Server reporting backup chain breaks,Backup verification process identified missed sla in NetBackup master server. Backup chain breaks detected during routine integrity checks. (CVE-2018-3198) An issue was discovered in certain Apple products.  iOS 10. Impact assessment shows potential restore reliability concerns. Immediate investigation required to ensure data protection compliance.,Open,Resolution: Optimize backup operations by performing backup operations when the backup is not done.
VER-21766,Netbackup Master Server experiencing job timeout,"Backup monitoring detected job timeout affecting NetBackup master server. Operations team engaged for diagnostics. The backup policy engine is currently in progress. 

We're sorry, currently this live video stream is only available inside of Utah or an approved RSL broadcast territory.",In Progress,Resolution: Optimize backup operations by using a file system.
